TEG,Round,Hole,PAR,SI,Pl,Sc
TEG XIII,R1,3,5,4,GW,8
TEG XIII,R1,4,3,18,GW,4
TEG XIII,R1,5,5,2,GW,7
TEG XIII,R1,6,4,14,GW,6
TEG XIII,R1,7,4,6,GW,6
TEG XIII,R1,8,3,16,GW,4
TEG XIII,R1,9,4,10,GW,5
TEG XIII,R1,10,4,11,GW,6
TEG XIII,R1,11,4,3,GW,5
TEG XIII,R1,12,4,13,GW,4
TEG XIII,R1,13,4,5,GW,6
TEG XIII,R1,14,3,15,GW,4
TEG XIII,R1,15,4,1,GW,3
TEG XIII,R1,16,5,7,GW,6
TEG XIII,R1,17,4,17,GW,4
TEG XIII,R1,18,4,9,GW,5
TEG XIII,R2,1,4,4,GW,5
TEG XIII,R2,2,3,16,GW,6
TEG XIII,R2,3,5,14,GW,5
TEG XIII,R2,4,4,2,GW,5
TEG XIII,R2,5,4,6,GW,4
TEG XIII,R2,6,5,10,GW,6
TEG XIII,R2,7,4,18,GW,5
TEG XIII,R2,8,3,12,GW,4
TEG XIII,R2,9,4,8,GW,6
TEG XIII,R2,10,4,13,GW,5
TEG XIII,R2,11,5,5,GW,5
TEG XIII,R2,12,4,11,GW,4
TEG XIII,R2,13,4,3,GW,4
TEG XIII,R2,14,3,17,GW,4
TEG XIII,R2,15,5,1,GW,5
TEG XIII,R2,16,3,7,GW,3
TEG XIII,R2,17,4,15,GW,5
TEG XIII,R2,18,4,9,GW,5
TEG XIII,R3,1,4,18,GW,4
TEG XIII,R3,2,4,4,GW,7
TEG XIII,R3,3,4,10,GW,7
TEG XIII,R3,4,4,2,GW,4
TEG XIII,R3,5,5,16,GW,7
TEG XIII,R3,6,3,8,GW,3
TEG XIII,R3,7,5,14,GW,5
TEG XIII,R3,8,4,12,GW,4
