TEG,Round,Hole,PAR,SI,DM,GW,JB,SN,AB,JP
TEG XIV,R1,7,4,6,6,6,4,0,6,9
TEG XIV,R1,8,3,16,5,4,4,0,4,4
TEG XIV,R1,9,4,10,4,5,6,0,5,6
TEG XIV,R1,10,4,11,7,6,5,0,6,8
TEG XIV,R1,11,4,3,5,5,5,0,8,6
TEG XIV,R1,12,4,13,6,4,6,0,7,5
TEG XIV,R1,13,4,5,5,6,5,0,5,6
TEG XIV,R1,14,3,15,4,4,5,0,4,4
TEG XIV,R1,15,4,1,5,3,7,0,5,6
TEG XIV,R1,16,5,7,6,6,5,0,7,9
TEG XIV,R1,17,4,17,5,4,4,0,4,4
TEG XIV,R1,18,4,9,4,5,4,0,5,6
TEG XIV,R2,1,4,4,6,5,5,0,6,8
TEG XIV,R2,2,3,16,4,6,5,0,4,5
TEG XIV,R2,3,5,14,5,5,5,0,5,8
TEG XIV,R2,4,4,2,5,5,5,0,5,6
TEG XIV,R2,5,4,6,5,4,6,0,5,5
TEG XIV,R2,6,5,10,5,6,4,0,7,7
TEG XIV,R2,7,4,18,6,5,6,0,5,4
TEG XIV,R2,8,3,12,3,4,3,0,3,3
TEG XIV,R2,9,4,8,8,6,5,0,5,6
TEG XIV,R2,10,4,13,4,5,4,0,7,4
TEG XIV,R2,11,5,5,5,5,8,0,7,6
TEG XIV,R2,12,4,11,5,4,5,0,6,4
TEG XIV,R2,13,4,3,5,4,4,0,5,6
TEG XIV,R2,14,3,17,4,4,3,0,5,6
TEG XIV,R2,15,5,1,6,5,8,0,7,8
TEG XIV,R2,16,3,7,4,3,5,0,5,4
TEG XIV,R2,17,4,15,5,5,4,0,6,8
TEG XIV,R2,18,4,9,4,5,3,0,6,7
TEG XIV,R3,1,4,18,5,4,4,0,6,4
TEG XIV,R3,2,4,4,4,7,5,0,8,4
TEG XIV,R3,3,4,10,5,7,4,0,6,5
TEG XIV,R3,4,4,2,5,4,4,0,5,3
TEG XIV,R3,5,5,16,7,7,6,0,5,6
TEG XIV,R3,6,3,8,4,3,3,0,4,5
TEG XIV,R3,7,5,14,6,5,6,0,5,6
TEG XIV,R3,8,4,12,4,4,4,0,7,4
TEG XIV,R3,9,3,6,4,3,2,0,5,4
TEG XIV,R3,10,4,1,5,5,4,0,6,4
TEG XIV,R3,11,4,13,5,6,4,0,5,4
TEG XIV,R3,12,4,5,6,4,5,0,7,6
TEG XIV,R3,13,4,9,6,4,6,0,5,4
TEG XIV,R3,14,3,11,6,3,4,0,3,4
TEG XIV,R3,15,4,17,5,6,4,0,5,4
TEG XIV,R3,16,4,3,6,4,5,0,6,4
TEG XIV,R3,17,3,7,3,5,3,0,4,7
TEG XIV,R3,18,5,15,6,5,6,0,8,5
TEG XIV,R4,1,4,6,4,4,5,0,4,6
TEG XIV,R4,2,5,12,5,6,5,0,5,3
TEG XIV,R4,3,3,16,5,4,4,0,5,6
TEG XIV,R4,4,4,4,4,4,4,0,6,5
TEG XIV,R4,5,3,18,3,4,3,0,4,4
TEG XIV,R4,6,4,14,4,7,5,0,5,6
TEG XIV,R4,7,4,2,5,5,5,0,4,5
TEG XIV,R4,8,5,8,7,7,6,0,7,6
TEG XIV,R4,9,4,10,5,6,5,0,4,6
TEG XIV,R4,10,4,3,9,5,7,0,4,5
TEG XIV,R4,11,3,15,4,5,4,0,4,3
TEG XIV,R4,12,5,13,7,5,5,0,5,8
TEG XIV,R4,13,4,1,4,4,4,0,5,4
TEG XIV,R4,14,4,5,5,5,4,0,6,6
TEG XIV,R4,15,5,9,6,5,6,0,7,9
TEG XIV,R4,16,4,17,4,4,6,0,5,5
TEG XIV,R4,17,3,11,5,4,2,0,4,4
TEG XIV,R4,18,4,7,6,5,5,0,5,6
TEG XV,R1,1,4,5,5,8,4,8,6,6
TEG XV,R1,2,3,13,3,4,4,4,5,4
TEG XV,R1,3,4,15,6,3,5,9,5,6
TEG XV,R1,4,3,7,5,2,4,5,5,5
TEG XV,R1,5,5,3,6,6,6,8,8,7
TEG XV,R1,6,4,17,6,5,4,5,4,6
TEG XV,R1,7,4,1,5,5,5,7,6,5
TEG XV,R1,8,3,9,4,3,3,5,4,6
TEG XV,R1,9,4,11,6,4,4,6,5,8
TEG XV,R1,10,5,12,6,6,5,7,5,6
TEG XV,R1,11,4,2,5,4,9,5,7,5
TEG XV,R1,12,4,4,8,7,9,7,8,6
TEG XV,R1,13,3,10,3,3,4,4,3,3
TEG XV,R1,14,4,8,5,4,6,4,4,5
TEG XV,R1,15,4,14,4,5,7,10,5,4
TEG XV,R1,16,3,6,6,5,4,4,7,3
TEG XV,R1,17,4,18,7,4,8,4,6,5
TEG XV,R1,18,4,16,4,8,5,4,6,6
TEG XV,R2,1,4,17,6,5,6,5,5,6
TEG XV,R2,2,3,15,5,5,4,3,3,4
TEG XV,R2,3,4,1,5,7,8,7,7,3
TEG XV,R2,4,4,5,7,4,6,8,5,7
TEG XV,R2,5,3,7,4,3,4,3,3,4
TEG XV,R2,6,5,11,10,5,8,10,11,9
TEG XV,R2,7,5,3,6,5,9,8,9,7
TEG XV,R2,8,4,13,4,5,5,4,7,6
TEG XV,R2,9,4,9,5,4,4,7,5,4
TEG XV,R2,10,4,10,4,4,4,6,7,7
TEG XV,R2,11,4,14,7,5,4,5,4,5
TEG XV,R2,12,3,18,4,3,5,4,3,3
TEG XV,R2,13,5,8,5,7,5,11,8,7
TEG XV,R2,14,4,2,5,4,5,9,5,6
TEG XV,R2,15,5,16,3,10,5,5,6,5
TEG XV,R2,16,3,12,3,3,4,5,5,5
TEG XV,R2,17,4,6,6,5,11,9,10,4
TEG XV,R2,18,4,4,5,4,4,6,7,5
TEG XV,R3,1,4,10,4,6,4,4,6,7
TEG XV,R3,2,4,8,3,4,6,4,5,7
TEG XV,R3,3,4,16,4,5,6,6,6,4
TEG XV,R3,4,4,2,7,4,4,4,6,5
TEG XV,R3,5,3,14,3,6,3,4,2,3
TEG XV,R3,6,5,18,5,6,5,6,6,5
TEG XV,R3,7,3,4,4,3,4,4,7,3
TEG XV,R3,8,5,6,5,4,5,5,9,6
TEG XV,R3,9,4,12,7,6,5,5,5,6
TEG XV,R3,10,4,9,4,3,4,4,6,8
TEG XV,R3,11,4,3,5,4,4,6,5,6
TEG XV,R3,12,5,17,5,6,9,7,9,6
TEG XV,R3,13,4,13,5,4,3,7,6,5
TEG XV,R3,14,4,5,5,5,4,5,10,6
TEG XV,R3,15,3,11,4,2,3,3,3,3
TEG XV,R3,16,4,1,5,5,5,5,4,9
TEG XV,R3,17,3,7,5,3,6,5,5,4
